Gender,MaritalStatus,Age,Accommodation,Faculty,SecSchType ,HealthCondition, LevelOfStudy,LectureAttend,ClassActive,LateFreq,StudyHours,CGPA,TechUtilization,EmpStatus,SocialMedia,StressMang,SadFreq,StudentAssoc,ExtracurricularAct,YearsBefAdmission,FamilySize,SponsorType,SponsorIncome,SponsorSupport, HomeResp,ProgramPref,OnlineResources,TeachStaffComp,QualityOfFacilities,ClassSize,InternetAccess,LecClarification,LecSupport,TeachnApproach,TeachnResources,TopicDensity,LecAbsFreq,LecPuctuality,TeachExperience
Male,Married,36 or above,Off-campus,Social and Management Science,Public,No,400,Disagree,Frequently,Never,10-15 hours,4.50 - 5.00,Frequently,Yes,2-3 hours,Moderate,Sometimes,Yes,Occasionally,2-3 years,Above 9 members,Self-sponsored,"N80,000 - N150,000",Average,Occasionally,Yes,Good,Good,Average,No,Disagree,Good,Good,Rarely,Frequently,Disagree,Disagree,Agree,Good
Male,Single,26-30,Off-campus,Social and Management Science,Public,No,500,Agree,Frequently,Never,5-10 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Very frequently,More than 3 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Average,Average,Average,Yes,Agree,Good,Good,Frequently,Occasionally,Agree,Agree,Strongly agree,Good
Male,Single,26-30,Off-campus,Social and Management Science,Public,No,400,Agree,Never,Once a week,Less than 5 hours,2.40 - 3.49,Occasionally,No,1-2 hours,High,Sometimes,No,Never,2-3 years,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Good,Very poor,Very poor,Yes,Disagree,Average,Average,Occasionally,Occasionally,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Strongly disagree,Frequently,Rarely,More than 20 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,1-2 years,Above 9 members,Self-sponsored,"Above N150,000",Average,Occasionally,Yes,Good,Good,Poor,Yes,Disagree,Good,Good,Rarely,Occasionally,Strongly disagree,Strongly disagree,Strongly disagree,Good
Male,Single,21-25,On-campus,Environmental,Public,No,200,Disagree,Occasionally,Rarely,15-20 hours,3.50 - 4.49,Frequently,No,2-3 hours,Moderate,Sometimes,Yes,Rarely,1-2 years,1-4 members,Parents,"N80,000 - N150,000",High,Very frequently,Yes,Good,Excellent,Average,No,Strongly disagree,Excellent,Excellent,Frequently,Occasionally,Agree,Agree,Agree,Excellent
Male,Single,16-20,Living with family/relatives,Environmental,Private,No,200,Agree,Rarely,Almost every day,5-10 hours,2.40 - 3.49,Very frequently,Yes,2-3 hours,Moderate,Often,No,Never,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Frequently,Yes,Poor,Average,Average,No,Disagree,Average,Average,Occasionally,Rarely,Agree,Agree,Disagree,Average
Male,Single,21-25,On-campus,Engineering,Private,No,500,Disagree,Rarely,Once a week,10-15 hours,3.50 - 4.49,Very frequently,No,3-4 hours,High,Sometimes,No,Rarely,1-2 years,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Good,Average,Poor,No,Agree,Average,Good,Occasionally,Frequently,Agree,Agree,Disagree,Average
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Strongly disagree,Occasionally,Never,10-15 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,High,Sometimes,No,Rarely,1-2 years,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Poor,Average,Average,Yes,Strongly agree,Average,Good,Frequently,Occasionally,Agree,Disagree,Disagree,Average
Male,Single,16-20,On-campus,Physical Sciences,Public,No,200,Disagree,Occasionally,Rarely,5-10 hours,4.50 - 5.00,Very frequently,Yes,2-3 hours,High,Often,No,Never,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",High,Occasionally,No,Poor,Good,Poor,No,Strongly disagree,Good,Good,Occasionally,Rarely,Disagree,Strongly agree,Strongly agree,Average
Male,Single,21-25,On-campus,Agriculture,Private,No,300,Disagree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,Yes,Frequently,Less than 1 year,Above 9 members,Guardian,"Above N150,000",High,Occasionally,Yes,Average,Good,Good,No,Disagree,Good,Good,Occasionally,Rarely,Agree,Disagree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Agree,Rarely,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Never,1-2 years,1-4 members,Parents,"Above N150,000",High,Occasionally,Yes,Very poor,Excellent,Excellent,Yes,Disagree,Excellent,Excellent,Frequently,Occasionally,Agree,Disagree,Disagree,Excellent
Male,Single,21-25,On-campus,Education,Private,No,300,Disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Frequently,Yes,2-3 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,No,Poor,Average,Poor,No,Disagree,Average,Average,Rarely,Frequently,Disagree,Agree,Agree,Average
Male,Single,26-30,Off-campus,Engineering,Public,No,300,Agree,Rarely,Twice a week,5-10 hours,2.40 - 3.49,Very frequently,No,2-3 hours,Moderate,Often,No,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"N80,000 - N150,000",High,Occasionally,Yes,Average,Good,Very poor,No,Strongly disagree,Average,Average,Occasionally,Rarely,Agree,Agree,Disagree,Good
Female,Single,26-30,On-campus,Life Sciences,Private,Yes,200,Agree,Frequently,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,More than 3 years,1-4 members,Guardian,"N80,000 - N150,000",Average,Frequently,No,Excellent,Excellent,Good,No,Agree,Good,Average,Frequently,Occasionally,Agree,Agree,Agree,Average
Female,Single,16-20,Living with family/relatives,Life Sciences,Private,No,200,Agree,Occasionally,Once a week,10-15 hours,2.40 - 3.49,Never,No,More than 4 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Not at all,Yes,Average,Excellent,Average,No,Agree,Excellent,Excellent,Always,Frequently,Agree,Disagree,Disagree,Excellent
Female,Single,16-20,On-campus,Life Sciences,Private,No,200,Agree,Rarely,Rarely,5-10 hours,1.50 - 2.39,Rarely,Yes,2-3 hours,Low,Sometimes,No,Never,1-2 years,Above 9 members,Parents,"Above N150,000",High,Frequently,Yes,Average,Average,Good,No,Disagree,Average,Good,Frequently,Frequently,Agree,Agree,Disagree,Average
Male,Single,21-25,Off-campus,Engineering,Private,No,400,Agree,Never,Never,15-20 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Very high,Often,No,Never,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Very poor,Good,Very poor,Yes,Strongly disagree,Good,Excellent,Occasionally,Rarely,Agree,Strongly disagree,Strongly disagree,Good
Male,Single,21-25,Off-campus,Social and Management Science,Private,No,500,Agree,Rarely,Rarely,5-10 hours,2.40 - 3.49,Occasionally,No,2-3 hours,Moderate,Sometimes,No,Rarely,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Good,Good,Very poor,Yes,Disagree,Good,Average,Occasionally,Occasionally,Agree,Agree,Agree,Good
Female,Married,36 or above,Living with family/relatives,Physical Sciences,Public,No,500,Strongly agree,Frequently,Twice a week,5-10 hours,2.40 - 3.49,Never,No,Less than 1 hour,Low,Often,No,Occasionally,More than 3 years,5-9 members,Self-sponsored,"Below N80,000",Low,Occasionally,No,Poor,Very poor,Poor,No,Disagree,Poor,Poor,Rarely,Rarely,Disagree,Agree,Agree,Poor
Male,Single,26-30,Off-campus,Environmental,Private,No,400,Agree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Very frequently,Yes,1-2 hours,Low,Very often,No,Rarely,1-2 years,5-9 members,Self-sponsored,"Below N80,000",Low,Occasionally,No,Very poor,Very poor,Very poor,Yes,Disagree,Average,Average,Occasionally,Rarely,Agree,Agree,Agree,Average
Female,Single,21-25,Living with family/relatives,Engineering,Private,Yes,500,Disagree,Frequently,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,2-3 hours,Very low,Often,No,Occasionally,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Poor,Average,Average,No,Strongly agree,Average,Average,Rarely,Rarely,Strongly agree,Strongly agree,Strongly agree,Average
Male,Single,21-25,Off-campus,Life Sciences,Private,No,400,Agree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Very frequently,Yes,2-3 hours,High,Sometimes,No,Rarely,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Good,Poor,Yes,Disagree,Good,Good,Frequently,Frequently,Disagree,Disagree,Agree,Excellent
Female,Single,21-25,On-campus,Environmental,Public,No,200,Agree,Frequently,Rarely,5-10 hours,1.50 - 2.39,Very frequently,No,More than 4 hours,Moderate,Often,Yes,Very frequently,2-3 years,5-9 members,Guardian,"N80,000 - N150,000",Average,Frequently,Yes,Average,Good,Average,Yes,Disagree,Average,Average,Rarely,Rarely,Disagree,Agree,Agree,Good
Male,Single,26-30,On-campus,Social and Management Science,Public,No,500,Disagree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,High,Sometimes,Yes,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Poor,Average,Average,No,Disagree,Average,Average,Occasionally,Never,Agree,Agree,Agree,Average
Female,Single,21-25,Living with family/relatives,Physical Sciences,Private,No,400,Strongly disagree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,Yes,3-4 hours,High,Often,No,Never,1-2 years,Above 9 members,Parents,"Above N150,000",High,Frequently,No,Very poor,Good,Poor,Yes,Strongly disagree,Average,Good,Frequently,Occasionally,Disagree,Strongly disagree,Strongly disagree,Good
Male,Single,26-30,Living with family/relatives,Social and Management Science,Private,No,500,Strongly agree,Never,Almost every day,5-10 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,More than 3 years,Above 9 members,Parents,"Above N150,000",High,Frequently,No,Average,Average,Average,No,Disagree,Average,Average,Frequently,Rarely,Disagree,Agree,Agree,Average
Male,Single,26-30,Off-campus,Life Sciences,Public,No,500,Strongly disagree,Never,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Very poor,Average,Very poor,No,Strongly disagree,Average,Average,Rarely,Never,Agree,Agree,Strongly agree,Average
Female,Single,26-30,Living with family/relatives,Social and Management Science,Private,No,500,Strongly agree,Occasionally,Twice a week,15-20 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Very frequently,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Good,Good,Average,Yes,Agree,Good,Good,Occasionally,Frequently,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Social and Management Science,Public,No,500,Disagree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,Yes,Frequently,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Very frequently,Yes,Average,Excellent,Good,Yes,Agree,Good,Good,Occasionally,Occasionally,Disagree,Disagree,Disagree,Good
Male,Single,26-30,Off-campus,Life Sciences,Private,No,500,Disagree,Rarely,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,Yes,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,1-4 members,Parents,"Below N80,000",Low,Very frequently,Yes,Very poor,Average,Average,Yes,Disagree,Very poor,Average,Rarely,Occasionally,Disagree,Agree,Disagree,Good
Female,Married,26-30,Off-campus,Physical Sciences,Public,No,500,Agree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,1-4 members,Guardian,"Above N150,000",High,Very frequently,Yes,Good,Excellent,Poor,No,Strongly disagree,Good,Excellent,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Married,36 or above,Off-campus,Engineering,Public,No,400,Agree,Frequently,Almost every day,10-15 hours,3.50 - 4.49,Frequently,Yes,1-2 hours,High,Sometimes,No,Rarely,Less than 1 year,1-4 members,Self-sponsored,"N80,000 - N150,000",High,Occasionally,Yes,Good,Good,Average,No,Agree,Good,Average,Frequently,Occasionally,Agree,Agree,Strongly agree,Average
Female,Single,26-30,On-campus,Physical Sciences,Public,No,400,Strongly disagree,Rarely,Almost every day,5-10 hours,3.50 - 4.49,Rarely,No,2-3 hours,Moderate,Sometimes,Yes,Rarely,1-2 years,5-9 members,Parents,"Below N80,000",Low,Frequently,No,Very poor,Excellent,Average,No,Strongly disagree,Good,Good,Occasionally,Occasionally,Strongly disagree,Strongly disagree,Strongly disagree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,500,Disagree,Very frequently,Rarely,10-15 hours,4.50 - 5.00,Frequently,No,1-2 hours,High,Never,Yes,Frequently,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Average,Good,Good,Yes,Agree,Excellent,Excellent,Frequently,Frequently,Disagree,Agree,Agree,Excellent
Female,Single,16-20,Living with family/relatives,Physical Sciences,Private,No,200,Agree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Parents,"Above N150,000",High,Frequently,Yes,Excellent,Excellent,Good,No,Disagree,Good,Excellent,Occasionally,Frequently,Agree,Agree,Agree,Good
Male,Single,31-35,Living with family/relatives,Social and Management Science,Public,No,500,Agree,Rarely,Rarely,5-10 hours,1.50 - 2.39,Rarely,No,Less than 1 hour,Moderate,Very often,No,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Low,Very frequently,Yes,Excellent,Good,Average,Yes,Agree,Good,Excellent,Always,Always,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Agriculture,Public,No,400,Strongly disagree,Very frequently,Never,5-10 hours,3.50 - 4.49,Very frequently,No,2-3 hours,Moderate,Never,No,Never,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Poor,Good,Poor,No,Agree,Excellent,Good,Frequently,Occasionally,Agree,Agree,Disagree,Average
Male,Single,21-25,On-campus,Physical Sciences,Public,No,200,Disagree,Rarely,Twice a week,5-10 hours,1.50 - 2.39,Occasionally,No,2-3 hours,Low,Sometimes,No,Rarely,More than 3 years,Above 9 members,Self-sponsored,"Above N150,000",Average,Frequently,Yes,Very poor,Average,Average,No,Agree,Poor,Poor,Occasionally,Rarely,Agree,Agree,Agree,Average
Male,Single,26-30,On-campus,Physical Sciences,Private,Yes,300,Strongly agree,Frequently,Twice a week,5-10 hours,3.50 - 4.49,Frequently,No,3-4 hours,Moderate,Sometimes,Yes,Rarely,2-3 years,5-9 members,Guardian,"N80,000 - N150,000",Average,Occasionally,Yes,Very poor,Average,Poor,Yes,Strongly disagree,Average,Good,Occasionally,Rarely,Agree,Agree,Agree,Average
Female,Single,16-20,Living with family/relatives,Physical Sciences,Private,No,200,Strongly disagree,Rarely,Never,Less than 5 hours,2.40 - 3.49,Frequently,Yes,More than 4 hours,High,Sometimes,Yes,Rarely,Less than 1 year,Above 9 members,Parents,"Below N80,000",Low,Occasionally,Yes,Poor,Good,Good,Yes,Disagree,Good,Good,Occasionally,Frequently,Disagree,Agree,Disagree,Good
Female,Single,21-25,On-campus,Agriculture,Public,No,300,Agree,Rarely,Once a week,5-10 hours,1.50 - 2.39,Very frequently,No,More than 4 hours,Moderate,Often,No,Never,1-2 years,5-9 members,Parents,"Above N150,000",Average,Frequently,No,Very poor,Good,Good,Yes,Strongly disagree,Good,Average,Rarely,Occasionally,Disagree,Agree,Strongly agree,Good
Male,Single,16-20,On-campus,Agriculture,Public,No,200,Agree,Frequently,Almost every day,5-10 hours,2.40 - 3.49,Frequently,Yes,1-2 hours,Very high,Sometimes,Yes,Frequently,1-2 years,5-9 members,Parents,"Below N80,000",Average,Very frequently,Yes,Average,Average,Good,Yes,Agree,Average,Good,Frequently,Always,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,300,Strongly agree,Rarely,Once a week,5-10 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Sometimes,Yes,Never,1-2 years,Above 9 members,Parents,"Below N80,000",High,Occasionally,Yes,Average,Good,Poor,Yes,Agree,Good,Average,Always,Frequently,Disagree,Disagree,Agree,Good
Female,Single,16-20,On-campus,Agriculture,Private,No,200,Agree,Rarely,Once a week,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,High,Often,No,Frequently,1-2 years,Above 9 members,Parents,"Below N80,000",Low,Frequently,No,Poor,Average,Average,No,Strongly disagree,Average,Average,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Rarely,Rarely,Less than 5 hours,1.50 - 2.39,Very frequently,No,More than 4 hours,Low,Often,No,Rarely,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Not at all,Yes,Poor,Poor,Poor,No,Disagree,Poor,Poor,Never,Frequently,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Strongly disagree,Occasionally,Rarely,5-10 hours,1.50 - 2.39,Frequently,Yes,1-2 hours,Moderate,Very often,No,Occasionally,More than 3 years,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Good,Good,Very poor,Yes,Strongly disagree,Good,Good,Frequently,Occasionally,Agree,Disagree,Disagree,Good
Male,Single,16-20,Off-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Rarely,10-15 hours,4.50 - 5.00,Very frequently,No,More than 4 hours,Moderate,Often,No,Very frequently,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Average,Poor,No,Disagree,Good,Excellent,Occasionally,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Strongly disagree,Rarely,Rarely,10-15 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Very often,No,Rarely,2-3 years,5-9 members,Parents,"Below N80,000",Average,Not at all,Yes,Good,Good,Average,No,Strongly disagree,Average,Good,Frequently,Rarely,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Public,No,200,Agree,Frequently,Never,5-10 hours,2.40 - 3.49,Frequently,Yes,3-4 hours,High,Sometimes,Yes,Frequently,Less than 1 year,5-9 members,Guardian,"N80,000 - N150,000",High,Frequently,Yes,Excellent,Good,Excellent,Yes,Agree,Average,Good,Always,Frequently,Agree,Agree,Agree,Excellent
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Once a week,5-10 hours,3.50 - 4.49,Frequently,Yes,3-4 hours,Moderate,Very often,No,Very frequently,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Average,Poor,Poor,No,Strongly disagree,Very poor,Very poor,Rarely,Occasionally,Strongly agree,Disagree,Disagree,Very poor
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Disagree,Occasionally,Twice a week,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,No,Occasionally,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Good,Good,Yes,Agree,Good,Good,Frequently,Frequently,Disagree,Strongly disagree,Strongly disagree,Excellent
Male,Single,21-25,Living with family/relatives,Physical Sciences,Public,No,300,Disagree,Frequently,Once a week,5-10 hours,2.40 - 3.49,Frequently,No,1-2 hours,High,Sometimes,No,Never,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Excellent,Good,Yes,Agree,Good,Good,Frequently,Occasionally,Disagree,Strongly disagree,Disagree,Excellent
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,300,Disagree,Rarely,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,Yes,Occasionally,1-2 years,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Good,Average,No,Disagree,Average,Good,Rarely,Occasionally,Agree,Strongly agree,Agree,Average
Male,Single,21-25,Living with family/relatives,Physical Sciences,Public,No,300,Agree,Never,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Low,Sometimes,No,Rarely,Less than 1 year,1-4 members,Guardian,"Below N80,000",High,Very frequently,Yes,Average,Average,Very poor,Yes,Disagree,Good,Average,Frequently,Occasionally,Disagree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Disagree,Occasionally,Rarely,10-15 hours,1.50 - 2.39,Very frequently,No,More than 4 hours,Very high,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Very frequently,No,Average,Very poor,Very poor,No,Strongly disagree,Very poor,Very poor,Occasionally,Occasionally,Disagree,Strongly disagree,Strongly disagree,Poor
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Occasionally,No,1-2 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Average,Average,Average,No,Disagree,Average,Average,Occasionally,Occasionally,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Agree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Very frequently,No,2-3 hours,Moderate,Sometimes,No,Rarely,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Very frequently,Yes,Good,Poor,Very poor,No,Strongly disagree,Very poor,Average,Never,Never,Strongly disagree,Agree,Disagree,Very poor
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Rarely,15-20 hours,2.40 - 3.49,Very frequently,Yes,More than 4 hours,High,Sometimes,No,Rarely,Less than 1 year,1-4 members,Parents,"Below N80,000",Average,Very frequently,Yes,Very poor,Very poor,Very poor,No,Strongly disagree,Very poor,Very poor,Rarely,Frequently,Agree,Disagree,Disagree,Poor
Male,Single,16-20,Off-campus,Physical Sciences,Public,No,300,Disagree,Rarely,Rarely,Less than 5 hours,1.50 - 2.39,Frequently,No,More than 4 hours,Moderate,Sometimes,Yes,Rarely,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",High,Frequently,No,Average,Average,Average,Yes,Disagree,Good,Good,Always,Always,Disagree,Disagree,Agree,Average
Male,Single,31-35,On-campus,Physical Sciences,Public,No,400,Agree,Occasionally,Rarely,15-20 hours,3.50 - 4.49,Very frequently,No,2-3 hours,High,Sometimes,No,Never,Less than 1 year,5-9 members,Self-sponsored,"Below N80,000",Low,Occasionally,Yes,Good,Good,Poor,No,Disagree,Average,Good,Frequently,Occasionally,Agree,Strongly agree,Agree,Average
Male,Single,26-30,Off-campus,Engineering,Public,No,400,Agree,Occasionally,Once a week,5-10 hours,2.40 - 3.49,Occasionally,No,2-3 hours,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Excellent,Excellent,Yes,Agree,Excellent,Average,Occasionally,Occasionally,Agree,Agree,Agree,Good
Female,Single,26-30,On-campus,Physical Sciences,Public,No,300,Agree,Rarely,Once a week,Less than 5 hours,1.50 - 2.39,Frequently,Yes,More than 4 hours,Moderate,Often,No,Never,More than 3 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Average,Average,No,Disagree,Average,Poor,Rarely,Rarely,Agree,Disagree,Disagree,Good
Male,Married,26-30,On-campus,Physical Sciences,Public,No,300,Agree,Rarely,Twice a week,5-10 hours,1.50 - 2.39,Frequently,Yes,2-3 hours,Moderate,Very often,No,Never,1-2 years,1-4 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Good,Excellent,Average,Yes,Agree,Good,Good,Frequently,Occasionally,Agree,Disagree,Agree,Excellent
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Rarely,More than 20 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Low,Not at all,Yes,Very poor,Good,Very poor,No,Strongly disagree,Average,Good,Frequently,Frequently,Agree,Agree,Agree,Average
Male,Married,31-35,Off-campus,Physical Sciences,Public,No,500,Disagree,Very frequently,Once a week,More than 20 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Very high,Sometimes,Yes,Occasionally,Less than 1 year,1-4 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Good,Good,Average,Yes,Agree,Good,Good,Always,Frequently,Strongly agree,Strongly disagree,Strongly disagree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,300,Strongly disagree,Occasionally,Never,Less than 5 hours,4.50 - 5.00,Very frequently,No,More than 4 hours,Very high,Sometimes,Yes,Very frequently,More than 3 years,5-9 members,Self-sponsored,"Below N80,000",Low,Occasionally,Yes,Average,Average,Very poor,Yes,Disagree,Average,Average,Occasionally,Rarely,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Public,No,300,Disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Occasionally,No,1-2 hours,Moderate,Sometimes,Yes,Occasionally,2-3 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Average,Poor,No,Disagree,Average,Average,Rarely,Rarely,Agree,Agree,Agree,Average
Male,Single,26-30,On-campus,Physical Sciences,Private,No,500,Agree,Occasionally,Almost every day,Less than 5 hours,3.50 - 4.49,Occasionally,No,Less than 1 hour,Moderate,Very often,Yes,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Low,Occasionally,Yes,Good,Good,Good,Yes,Agree,Good,Good,Occasionally,Occasionally,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Once a week,5-10 hours,2.40 - 3.49,Very frequently,Yes,More than 4 hours,Moderate,Very often,No,Never,Less than 1 year,Above 9 members,Parents,"Above N150,000",High,Occasionally,Yes,Excellent,Average,Poor,Yes,Disagree,Average,Average,Frequently,Occasionally,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,300,Disagree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Occasionally,Yes,1-2 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Average,Good,Average,No,Disagree,Good,Good,Rarely,Rarely,Strongly agree,Agree,Disagree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Disagree,Occasionally,Once a week,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Occasionally,Yes,Average,Excellent,Excellent,No,Disagree,Average,Average,Occasionally,Always,Strongly agree,Disagree,Disagree,Average
Male,Single,21-25,On-campus,Physical Sciences,Public,No,300,Agree,Occasionally,Rarely,10-15 hours,3.50 - 4.49,Frequently,No,2-3 hours,High,Very often,No,Occasionally,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Average,Very poor,No,Disagree,Average,Average,Frequently,Frequently,Strongly agree,Disagree,Agree,Average
